staff_id,dept_id
33860842912,13
98451520706,14
35134846364,8
92698522280,15
90134508778,7
53262763012,5
80036372124,7
53727815147,9
30689575097,11
84320135602,1
90656248238,8
62066779638,7
77117947422,15
73253025603,15
33575450249,13
74895326292,13
40850595762,10
40889689402,8
53434182353,8
94374664371,14
27946441835,10
22561283452,9
74997800957,11
67697807470,6
91367023329,5
47960718664,4
67758463500,4
21389790404,14
98870684482,3
78832401220,14
75339133780,10
57199282441,13
36702445480,4
45979296668,14
60170274590,3
44869451267,6
31976884284,11
55878996856,6
22585413484,8
81344410739,6
41069533517,15
60552999461,6
48486875122,10
18193427864,2
32379434579,12
18716063973,3
52288372388,4
39243562439,5
20140926142,14
51734845697,3
96575194408,1
30871168286,14
62743168874,7
38538288127,6
46055220563,14
50922589695,11
99795619901,8
65063112418,13
30639295654,1
13706183648,13
51927673524,4
60344799227,6
60334753081,7
97287210691,9
85282038277,12
31551628292,1
37233268274,9
94613426776,11
56784597458,6
98901183989,5
19276620746,11
56650467990,6
62496380045,9
95448079151,8
83923788555,5
89981892222,7
15517900330,9
35895166626,10
82857924186,9
20287442157,10
