drug_id,substance_id
1,1
1,2
2,1
2,2
3,3
3,4
4,3
4,4
5,5
6,5
7,6
8,7
8,8
9,9
10,10
11,11
12,11
13,12
14,12
15,12
16,12
17,12
18,13
18,14
19,5
20,15
20,16
20,17
21,18
21,19
22,18
22,19
23,18
23,19
24,18
24,19
25,18
25,19
26,18
26,19
27,18
28,18
29,18
30,18
31,18
31,19
32,18
32,19
33,18
34,18
35,18
36,18
37,18
38,18
39,18
40,18
41,18
41,19
42,18
43,18
44,18
44,19
45,18
45,19
46,18
46,19
47,18
47,19
48,18
48,19
49,18
49,19
50,18
50,19
51,18
51,19
52,18
52,19
53,18
53,19
54,18
54,19
55,18
55,19
56,18
56,19
57,18
57,19
58,18
58,19
59,18
59,19
60,18
60,19
61,18
61,19
62,18
62,19
63,18
63,19
64,18
64,19
65,18
65,19
66,18
66,19
67,18
67,19
68,18
68,19
69,18
69,19
70,18
70,19
71,18
71,19
72,18
72,19
73,18
73,19
74,18
74,19
75,18
75,19
76,18
76,19
77,20
77,18
77,19
78,18
78,19
79,18
79,19
80,18
80,19
81,18
81,19
82,18
82,19
83,18
83,19
84,18
84,19
85,18
85,19
86,18
86,19
87,18
87,19
88,18
88,19
89,18
89,19
90,18
90,19
91,18
91,19
92,18
92,19
93,18
93,19
94,18
94,19
95,18
95,19
96,18
96,19
97,18
97,19
98,18
98,19
99,18
99,19
100,18
100,19
101,18
101,19
102,18
102,19
103,18
103,19
104,18
104,19
105,18
105,19
106,18
106,19
107,18
107,19
108,18
108,19
109,18
109,19
110,18
110,19
111,18
111,19
112,18
112,19
113,18
113,19
114,18
114,19
115,18
115,19
116,18
116,19
117,18
117,19
118,18
118,19
119,18
119,19
120,18
120,19
121,18
121,19
122,18
122,19
123,18
123,19
124,18
124,19
125,18
125,19
126,18
126,19
127,18
127,19
128,18
128,19
129,18
129,19
130,18
130,19
131,21
131,19
132,20
132,18
132,19
133,20
133,18
133,19
134,18
134,19
135,18
135,19
136,22
137,22
138,18
138,19
139,18
139,19
140,23
141,24
142,17
143,25
144,26
145,26
146,26
147,26
148,26
149,26
150,26
151,26
152,26
153,26
154,27
155,27
156,27
157,27
158,27
159,27
160,27
161,27
162,27
163,27
164,28
165,29
166,30
167,30
168,30
169,30
170,30
171,30
172,30
173,30
174,30
175,30
176,31
177,32
177,33
178,34
179,34
180,34
181,34
182,34
183,35
184,35
185,35
186,35
187,35
188,36
189,37
190,38
191,36
192,35
193,35
194,36
195,39
195,40
195,41
195,42
196,43
197,43
198,44
198,45
199,46
200,47
201,48
202,48
203,49
203,50
203,51
203,52
203,53
203,54
203,55
203,56
204,57
204,58
204,59
204,60
205,57
205,58
205,59
205,60
206,57
206,58
206,59
206,60
207,57
207,58
207,59
207,60
208,57
208,58
208,59
208,60
209,57
209,58
209,59
209,60
210,57
210,58
210,59
210,60
211,57
211,58
211,59
211,60
212,57
212,58
212,59
212,60
213,61
213,62
214,63
215,64
216,64
217,64
218,64
219,65
219,66
220,67
221,68
222,68
223,68
224,68
225,68
226,68
227,68
228,68
229,69
230,70
230,71
231,72
232,73
233,74
233,75
234,76
235,69
236,77
237,78
238,79
239,80
240,80
241,80
242,80
243,81
244,82
244,83
245,84
246,82
246,85
247,86
248,84
249,87
249,88
250,84
251,89
252,31
253,90
253,91
254,27
255,27
256,27
257,27
258,92
258,93
258,94
258,95
258,96
258,97
258,98
259,92
259,94
259,95
259,96
259,97
259,99
259,98
260,100
261,101
262,102
263,102
264,69
265,69
266,69
267,69
268,69
269,69
270,69
271,69
272,69
273,69
274,69
275,69
276,69
277,69
278,69
279,103
280,103
281,104
282,31
283,32
283,33
284,105
284,106
284,107
284,108
284,109
284,110
285,111
286,69
287,112
288,31
289,31
290,31
291,113
292,31
292,114
293,31
293,114
294,31
295,113
296,31
297,31
298,31
299,31
300,31
301,31
302,31
303,31
304,31
305,31
306,31
307,31
308,31
309,31
310,113
311,31
312,31
313,31
314,31
315,31
316,31
317,31
318,31
319,113
320,113
321,113
322,31
323,31
324,31
325,31
326,31
327,31
328,31
329,31
330,31
331,31
332,31
333,31
334,31
335,31
336,31
337,31
338,31
339,31
340,31
341,31
342,31
343,31
344,31
345,31
346,31
347,31
348,31
349,31
350,31
351,31
352,31
353,31
354,31
355,31
356,31
357,31
358,31
359,31
360,31
361,31
362,31
363,31
364,31
365,31
366,31
367,31
368,31
369,31
370,31
371,31
372,31
373,31
374,31
375,31
376,31
377,31
378,31
379,31
380,31
381,31
382,31
383,31
384,31
385,31
386,31
387,31
388,31
389,31
390,31
391,31
392,31
393,31
394,31
395,31
396,31
397,31
398,31
399,31
400,31
401,31
402,31
403,31
404,31
405,31
406,31
407,31
408,31
409,31
410,31
411,31
412,31
413,31
414,113
415,31
416,31
417,31
418,31
419,31
420,31
421,31
422,31
423,31
424,31
425,31
426,31
427,31
428,31
429,31
430,31
431,31
432,31
433,31
434,31
435,31
436,31
437,31
438,31
439,31
440,31
441,31
442,31
443,31
444,31
445,31
446,31
447,31
448,31
449,31
450,31
451,31
452,31
453,31
454,31
455,31
456,31
457,31
458,113
459,31
460,31
461,31
462,31
463,31
464,31
465,31
466,31
467,31
468,31
469,31
470,31
471,31
472,31
473,31
474,31
475,31
476,31
477,31
478,31
479,31
480,31
481,31
482,31
483,31
484,31
485,31
486,31
487,31
488,31
489,31
490,31
491,31
492,31
493,31
494,31
495,31
496,31
497,31
498,31
499,31
500,31
501,31
502,31
503,31
504,31
505,31
506,31
507,31
508,113
509,31
510,31
511,31
512,31
513,31
514,31
515,31
516,113
517,31
518,31
519,31
520,31
521,31
522,31
523,31
524,31
525,31
526,31
527,31
528,31
529,31
530,31
531,31
532,31
533,31
534,31
535,31
536,31
537,31
538,31
539,31
540,31
541,31
542,31
543,31
544,31
545,31
546,31
547,31
548,31
549,31
550,31
551,31
552,31
553,31
554,31
555,31
556,31
557,31
558,31
559,31
560,31
561,31
562,31
563,31
564,31
565,31
566,31
567,31
568,31
569,31
570,31
571,31
572,31
573,31
574,31
575,31
576,31
577,31
578,31
579,31
580,31
581,31
582,113
583,31
584,31
585,31
586,31
587,31
588,31
589,31
590,31
591,31
592,31
593,31
594,31
595,31
596,31
597,31
598,31
599,31
600,31
601,113
602,115
603,116
604,116
605,116
606,117
607,89
608,118
609,119
610,120
610,121
610,122
611,123
612,124
613,125
614,120
614,121
614,122
615,126
616,127
617,128
618,129
619,130
619,131
619,95
619,132
620,133
621,134
622,120
622,121
622,122
623,135
624,136
625,137
625,138
625,139
625,140
625,141
625,142
625,143
625,144
625,145
625,146
625,147
625,148
625,149
625,150
626,151
627,151
628,27
629,27
630,27
631,27
632,27
633,27
634,27
635,27
636,27
637,27
638,27
639,152
640,153
640,154
640,155
641,156
642,156
643,156
644,156
645,5
646,5
647,5
648,157
648,158
649,157
649,158
650,159
650,160
651,116
652,161
653,162
654,163
655,164
655,165
655,166
655,167
655,168
656,164
656,165
656,166
656,167
656,168
657,164
657,165
657,166
657,167
657,168
658,164
658,165
658,166
658,167
658,168
659,169
660,169
661,169
662,170
663,170
664,170
665,170
666,171
666,172
666,173
667,73
668,73
669,73
670,174
671,174
672,29
673,29
674,29
675,29
676,29
677,29
678,29
679,29
680,29
681,29
682,29
683,29
684,29
685,29
686,81
687,175
687,176
688,177
689,178
690,179
691,180
692,181
693,182
694,182
695,183
696,183
697,184
698,184
699,184
700,185
701,185
702,69
703,32
703,33
704,186
705,186
706,187
707,188
708,188
709,188
710,188
711,188
712,189
713,190
714,191
714,192
714,190
715,191
715,192
715,190
716,193
717,193
718,193
719,193
720,193
721,193
722,193
723,193
724,193
725,193
726,193
727,193
728,193
729,193
730,193
731,193
732,193
733,193
734,193
735,193
736,193
737,193
738,193
739,193
740,193
741,193
742,193
743,193
744,193
745,193
746,193
747,193
748,193
749,5
750,5
751,5
752,5
753,194
754,195
755,195
756,196
756,197
757,196
757,197
758,196
758,197
759,196
759,197
760,196
760,197
761,196
761,197
762,196
762,197
763,196
763,197
764,196
764,197
765,196
765,197
766,196
766,197
767,196
767,197
768,196
768,197
769,196
769,197
770,196
770,197
771,196
771,197
772,196
772,197
773,196
773,197
774,196
774,197
775,196
775,197
776,193
777,198
778,199
778,200
779,201
780,202
781,202
782,202
783,203
784,203
785,199
785,100
786,198
786,100
787,204
788,204
789,204
790,204
791,204
792,204
793,204
794,204
795,204
796,204
797,204
798,204
799,204
800,204
801,204
802,204
803,204
804,204
805,204
806,204
807,204
808,204
809,204
810,204
811,204
812,204
813,204
814,204
815,204
816,204
817,204
818,204
819,204
820,204
821,204
822,204
823,204
824,204
825,204
826,204
827,204
828,204
829,204
830,204
831,196
831,197
832,205
833,205
834,205
835,205
836,206
836,65
837,206
837,191
838,207
839,207
840,207
841,208
841,209
841,57
841,210
841,58
841,59
841,211
842,208
842,209
842,57
842,210
842,58
842,59
842,211
843,57
843,210
843,58
843,59
843,211
843,212
844,57
844,210
844,59
844,211
845,57
845,210
845,59
845,211
846,57
846,210
846,59
846,211
847,57
847,210
847,59
847,211
848,57
848,210
848,59
848,211
849,57
849,210
849,59
849,211
850,57
850,210
850,59
850,211
851,57
851,210
851,59
851,211
852,208
852,209
852,57
852,210
852,58
852,59
852,211
853,208
853,209
853,57
853,210
853,58
853,59
853,211
854,208
854,209
854,57
854,210
854,58
854,59
854,211
855,208
855,209
855,57
855,210
855,58
855,59
855,211
856,208
856,209
856,57
856,210
856,58
856,59
856,211
857,208
857,209
857,57
857,210
857,58
857,59
857,211
858,208
858,209
858,57
858,210
858,58
858,59
858,211
859,208
859,209
859,57
859,210
859,58
859,59
859,211
860,208
860,209
860,57
860,210
860,58
860,59
860,211
861,213
862,213
863,213
864,213
865,214
866,215
866,189
867,216
868,216
869,216
870,217
871,217
872,217
873,216
874,217
875,217
876,216
877,217
878,216
879,216
880,216
881,216
882,217
883,5
884,5
885,218
885,17
886,218
886,17
887,219
888,219
889,219
890,219
891,219
892,219
893,219
894,219
895,219
896,219
897,219
898,219
899,219
900,219
901,219
902,219
903,219
904,219
905,219
906,219
907,219
908,219
909,219
910,219
911,219
912,219
913,219
914,219
915,220
915,221
916,220
916,221
917,220
917,221
918,217
919,216
920,117
921,117
922,117
923,117
924,222
924,220
925,223
925,220
926,5
926,224
927,225
927,226
928,227
929,204
930,222
930,220
931,82
932,219
933,220
933,221
934,220
934,221
935,220
935,221
936,228
937,71
938,229
939,229
940,230
941,230
942,230
943,230
944,221
945,204
946,204
947,204
948,231
949,232
950,233
951,233
952,233
953,233
954,233
955,222
956,234
957,234
957,90
958,204
959,235
960,236
961,222
962,237
963,238
963,239
963,62
964,220
964,221
965,61
965,62
966,240
966,62
967,115
967,241
968,5
969,5
970,5
971,5
972,223
972,220
973,17
974,17
975,17
976,17
977,17
978,17
979,17
980,221
981,242
982,242
983,243
984,31
985,244
986,243
987,245
988,245
989,245
990,245
991,246
992,245
993,245
994,245
995,247
996,248
997,249
998,231
999,231
1000,250
1001,231
1002,231
1003,231
1004,231
1005,251
1006,231
1007,231
1008,252
1009,231
1010,231
1011,231
1012,231
1013,223
1014,223
1014,220
1015,253
1016,253
1017,253
1018,253
1019,253
1020,204
1021,204
1022,204
1023,204
1024,204
1025,204
1026,204
1027,204
1028,204
1029,204
1030,204
1031,204
1032,204
1033,204
1034,204
1035,204
1036,204
1037,204
1038,204
1039,204
1040,204
1041,204
1042,204
1043,204
1044,204
1045,204
1046,204
1047,204
1048,204
1049,204
1050,204
1051,204
1052,204
1053,204
1054,204
1055,204
1056,204
1057,204
1058,204
1059,204
1060,204
1061,204
1062,204
1063,204
1064,204
1065,204
1066,254
1066,255
1067,5
1068,5
1069,256
1070,5
1071,5
1072,5
1073,5
1074,5
1075,5
1076,257
1077,257
1078,204
1079,204
1080,204
1081,204
1082,204
1083,204
1084,204
1085,204
1086,204
1087,204
1088,204
1089,204
1090,204
1091,204
1092,204
1093,204
1094,204
1095,204
1096,204
1097,204
1098,204
1099,204
1100,204
1101,204
1102,204
1103,204
1104,204
1105,204
1106,204
1107,204
1108,204
1109,204
1110,204
1111,204
1112,204
1113,204
1114,204
1115,204
1116,204
1117,204
1118,204
1119,204
1120,204
1121,204
1122,204
1123,204
1124,204
1125,204
1126,204
1127,204
1128,204
1129,204
1130,204
1131,204
1132,204
1133,204
1134,204
1135,204
1136,204
1137,204
1138,204
1139,204
1140,204
1141,204
1142,258
1143,258
1144,258
1145,258
1146,5
1147,5
1148,5
1149,5
1150,5
1151,5
1152,5
1153,5
1154,17
1154,5
1154,224
1155,17
1155,5
1155,224
1156,5
1157,5
1158,259
1159,5
1160,256
1161,256
1162,5
1163,5
1164,5
1165,5
1166,5
1167,5
1168,5
1169,5
1170,5
1171,5
1172,5
1173,5
1174,256
1175,256
1176,256
1177,5
1178,5
1179,17
1179,5
1179,224
1180,17
1180,5
1180,224
1181,5
1182,5
1183,260
1184,261
1185,262
1186,263
1186,264
1186,265
1186,266
1186,267
1186,268
1186,269
1187,204
1188,260
1189,260
1190,260
1191,260
1192,260
